,,,Punting,Punting,Punting,Punting
Rk,Tm,G,Pnt,Yds,Y/P,Blck
1,Denver Broncos,16,77,3149,40.9,
2,Oakland Raiders,16,71,2975,41.9,
3,Seattle Seahawks,16,65,2535,39.0,
4,Pittsburgh Steelers,16,77,3103,40.3,
5,New York Jets,16,62,2499,40.3,
6,Minnesota Vikings,16,65,2541,39.1,
7,San Francisco 49ers,16,65,2698,41.5,
8,Kansas City Chiefs,16,60,2346,39.1,
9,Atlanta Falcons,16,72,3024,42.0,
10,Tennessee Titans,16,77,3203,41.6,
11,Buffalo Bills,16,71,2833,39.9,
12,Indianapolis Colts,16,74,3086,41.7,
13,Miami Dolphins,16,80,3432,42.9,
14,New Orleans Saints,16,73,3117,42.7,
15,New York Giants,16,84,3360,40.0,
16,St. Louis Rams,16,70,2870,41.0,
17,New England Patriots,16,68,2679,39.4,
18,Washington Redskins,16,86,3397,39.5,
19,Cincinnati Bengals,16,65,2717,41.8,
20,Philadelphia Eagles,16,90,3690,41.0,
21,Green Bay Packers,16,76,3139,41.3,
22,Jacksonville Jaguars,16,65,2516,38.7,
23,Cleveland Browns,16,76,2941,38.7,
24,Baltimore Ravens,16,78,3182,40.8,
25,Chicago Bears,16,78,3260,41.8,
26,Arizona Cardinals,16,65,2730,42.0,
27,Detroit Lions,16,80,3392,42.4,
28,San Diego Chargers,16,83,3328,40.1,
29,Tampa Bay Buccaneers,16,99,4396,44.4,
30,Carolina Panthers,16,103,4254,41.3,
31,Dallas Cowboys,16,94,3892,41.4,
32,Houston Texans,16,98,3891,39.7,
,Avg Team,,76.5,3158.8,41.3,0.7
,League Total,,2447,101082,41.3,22
,Avg Tm/G,,4.8,197.4,41.3,0.0
